kfold,iteracion,arquitectura,training_time
0,0,ResNet152,580.7222728729248
0,0,InceptionV3,432.10929441452026
0,0,InceptionV4,582.6843647956848
0,1,ResNet152,507.56733107566833
0,1,InceptionV3,609.0249733924866
0,1,InceptionV4,636.9153003692627
0,2,ResNet152,671.4467523097992
0,2,InceptionV3,854.23579454422
0,2,InceptionV4,691.149346113205
0,3,ResNet152,722.0795857906342
0,3,InceptionV3,834.4465770721436
0,3,InceptionV4,661.449453830719
0,4,ResNet152,873.1733481884003
0,4,InceptionV3,1282.6704409122467
0,4,InceptionV4,1064.5868315696716
1,0,ResNet152,650.1587319374084
1,0,InceptionV3,438.4616732597351
1,0,InceptionV4,745.3607053756714
1,1,ResNet152,936.441859960556
1,1,InceptionV3,647.114066362381
1,1,InceptionV4,791.6280093193054
1,2,ResNet152,748.9062013626099
1,2,InceptionV3,790.4104008674622
1,2,InceptionV4,791.8455212116241
1,3,ResNet152,1052.938220024109
1,3,InceptionV3,1176.6392736434937
1,3,InceptionV4,1001.0021102428436
1,4,ResNet152,2464.60307598114
1,4,InceptionV3,966.1445467472076
1,4,InceptionV4,856.9517483711243
2,0,ResNet152,432.0336585044861
2,0,InceptionV3,442.9444007873535
2,0,InceptionV4,537.5294985771179
2,1,ResNet152,646.057279586792
2,1,InceptionV3,584.5566499233246
2,1,InceptionV4,564.1428129673004
2,2,ResNet152,569.6298921108246
2,2,InceptionV3,638.7164821624756
2,2,InceptionV4,763.3201079368591
2,3,ResNet152,710.2912156581879
2,3,InceptionV3,940.463917016983
2,3,InceptionV4,780.469128370285
2,4,ResNet152,1271.8092184066772
2,4,InceptionV3,710.7452349662781
2,4,InceptionV4,825.1295652389526
3,0,ResNet152,602.0468313694
3,0,InceptionV3,457.5803725719452
3,0,InceptionV4,761.4779887199402
3,1,ResNet152,514.0580155849457
3,1,InceptionV3,670.1834421157837
