kfold,iteracion,arquitectura,training_time
0,0,ResNet152,2755.146001815796
0,0,InceptionV3,2571.110085964203
0,0,InceptionV4,3071.1844770908356
0,1,ResNet152,2564.3133738040924
0,1,InceptionV3,3999.628956079483
0,1,InceptionV4,2479.6995589733124
0,2,ResNet152,4279.892225980759
0,2,InceptionV3,3426.1104860305786
0,2,InceptionV4,5842.669937133789
0,3,ResNet152,4057.222974061966
0,3,InceptionV3,4818.852247476578
0,3,InceptionV4,4240.646021366119
0,4,ResNet152,5421.02782201767
0,4,InceptionV3,4907.152380466461
0,4,InceptionV4,5637.4460599422455
1,0,ResNet152,2234.06489276886
1,0,InceptionV3,2494.1520104408264
1,0,InceptionV4,2631.3876538276672
1,1,ResNet152,3776.084986448288
1,1,InceptionV3,2984.3787512779236
1,1,InceptionV4,2218.16308927536
1,2,ResNet152,3352.890439748764
1,2,InceptionV3,3624.3077063560486
1,2,InceptionV4,3165.2901244163513
1,3,ResNet152,5080.989135980606
1,3,InceptionV3,4238.860615491867
1,3,InceptionV4,4554.859316587448
1,4,ResNet152,5396.5650889873505
1,4,InceptionV3,4572.092996120453
1,4,InceptionV4,3351.165621995926
2,0,ResNet152,2813.37659740448
2,0,InceptionV3,2648.199208498001
2,0,InceptionV4,2006.5354397296906
2,1,ResNet152,4366.481476783752
2,1,InceptionV3,3309.880147218704
2,1,InceptionV4,3123.9583327770233
2,2,ResNet152,3062.6021378040314
2,2,InceptionV3,3555.1618781089783
2,2,InceptionV4,3227.209678173065
2,3,ResNet152,4388.632062911987
2,3,InceptionV3,4153.9527904987335
2,3,InceptionV4,5387.509049415588
2,4,ResNet152,6420.335388660431
2,4,InceptionV3,4901.441152572632
2,4,InceptionV4,4270.705603122711
3,0,ResNet152,2866.629465818405
3,0,InceptionV3,2498.285575389862
3,0,InceptionV4,2026.9783475399017
3,1,ResNet152,2798.6642603874207
3,1,InceptionV3,3130.6501133441925
3,1,InceptionV4,3486.664083003998
3,2,ResNet152,4060.417968273163
3,2,InceptionV3,3694.6275284290314
3,2,InceptionV4,3896.9864139556885
3,3,ResNet152,6624.854377746582
3,3,InceptionV3,4538.990206718445
3,3,InceptionV4,5114.448881864548
3,4,ResNet152,5138.767608642578
3,4,InceptionV3,5277.917605400085
3,4,InceptionV4,6832.964159011841
