kfold,iteracion,arquitectura,training_time
0,0,ResNet50,1022.5425357818604
0,0,Xception,1140.599282026291
0,0,DenseNet169,1038.5423336029053
0,0,InceptionV4,1083.9433879852295
0,0,DenseNet121,1105.6885633468628
0,1,ResNet50,1261.7952020168304
0,1,Xception,1141.2344679832458
0,1,DenseNet169,1120.2027127742767
0,1,InceptionV4,1378.2729568481445
0,1,DenseNet121,1293.9157013893127
0,2,ResNet50,1271.1908602714539
0,2,Xception,1281.4360964298248
0,2,DenseNet169,1280.3165833950043
0,2,InceptionV4,1294.5525572299957
0,2,DenseNet121,1647.7801449298859
0,3,ResNet50,1643.1950702667236
0,3,Xception,1263.8023664951324
0,3,DenseNet169,1170.2061531543732
0,3,InceptionV4,1388.7743504047394
0,3,DenseNet121,1324.6843729019165
0,4,ResNet50,1309.9195268154144
0,4,Xception,1183.7937948703766
0,4,DenseNet169,1246.5143601894379
0,4,InceptionV4,1354.102819442749
0,4,DenseNet121,1246.2280583381653
